nome,descricao,bairro,latitude,longitude,categoria,logradouro,telefone,site
Memorial Chico Science,"""Buscando resgatar a obra do artista Chico Science o Memorial localizado no Pátio de São Pedro abriga exposições espaço para pesquisa e alguns eventos como a Semana Chico Science no mês de março que proporciona um momento de reflexão sobre o movimento Manguebeat.""","""São José""",-8.0671216,-34.8788421,Lazer,"""Pátio de São Pedro casa 21""",(81) 3355.3158 | 3355.3159 ,http://www.recife.pe.gov.br/chicoscience/#
Memorial Luiz Gonzaga,"""Com o objetivo preservar e difundir a obra de Luiz Gonzaga o Memorial também localizado no Pátio de São Pedro possui três núcleos operacionais: Núcleo Educativo dedicado à mediação e educação patrimonial Núcleo de Pesquisa proporcionando o acesso a documentos Núcleo de Música o qual trabalha na edição de partituras. Abriga exposição permanente.""","""São José""",-8.0672249,-34.8789283,Lazer,"""Pátio de São Pedro Casa 35""",(81) 3355.3155,http://memorialluizgonzaga.blogspot.com.br/
Museu do Trem,"""Contando a história do trem em Pernambuco a Estação Central Capiba possui acervo com peças colhidas nas antigas estações de trens do estado além de um pátio expondo duas locomotivas do tipo Maria-fumaça e outra movida a óleo diesel.""","""São José""",-8.0680447,-34.8834433,Lazer,"""R. Floriano Peixoto s/n""",(81) 3184-3197,https://www.facebook.com/museudotrempe/
Museu de Artes Afro-Brasil Rolando Toro,"""Na rua Mariz e Barros do bairro do Recife o espaço cultural abriga obras sob a perspectiva de um museu dinâmico promovendo estéticas entre as diversas linguagens artísticas afro-brasileiras em um só ambiente. Algumas peças do acervo ainda estão sendo catalogadas pelo museu junto à UFPE.""","""Recife""",-8.0628495,-34.873079,Lazer,"""Rua Mariz e Barros 328""",(81) 9970-8970,https://www.facebook.com/museuafrobrasilrolandotoro/
Museu da Cidade do Recife,"""fica dentro do Forte das Cinco Pontas construção holandesa de 1630. No local o visitante pode desfrutar de um extenso acervo de documentos iconográficos sobre o Recife além de 150 mil imagens de antigas residências e peças religiosas.""","""São José""",-8.071313,-34.880809,Gastronomia,"""Praça das cinco pontas""",(81)-33552812,http://www.recife.pe.gov.br/cultura/museucidade.php
Museu Militar,"""está no Forte do Brum no Bairro do Recife. O forte foi construído no século XVI para segurança e proteção da povoação do Recife além de ter sido cenário de inúmeros acontecimentos históricos. ""","""Recife""",-8.052803,-34.871412,Gastronomia,"""Av. Militar s/n""",(81) 3224-4620,
Museu de Arte Moderna Aloísio Magalhães (Mamam),"""integra o circuito de museus de arte moderna do Brasil e tem seu forte nas exposições temporárias.""","""Boa Vista""",-8.061285,-34.881394,Gastronomia,"""Rua da Aurora 265""",(81) 3355-6870,http://www.mamam.art.br/
Museu Franciscano de Arte Sacra,"""no bairro de Santo Antônio os visitantes podem observar valiosas peças do catolicismo no Recife e desfrutar da beleza da Capela Dourada datada de 1696 um dos melhores exemplos da arte sacra e do estilo barroco brasileiro. """,""" Santo Antônio""",-8.062427,-34.877231,Gastronomia,"""R. Imperador Dom Pedro II 57""",(81) 3224-0530,http://www.capeladourada.com.br/noticias/museu-franciscano-de-arte-sacra/
Instituto Arqueológico Histórico e Geográfico de Pernambuco,"""Centro de referência para pesquisadores de diversas áreas possui em seu acervo documentos e itens raros que representam a história do estado.""","""Boa Vista""",-8.0617337,-34.8843858,Gastronomia,"""Rua do Hospício 130""",(81) 3222-4952,http://www.iahgp.com.br/
Museu de Arte Popular,"""A casa 49 do Pátio de São Pedro abriga o MAP sua coleção retrata os estados do nordeste brasileiro através de obras em madeira gesso e cerâmica (barro).""","""São José""",-8.0673105,-34.8790074,Gastronomia,"""Pátio de São Pedro 49""",(81) 3355-3110,https://museudeartepopular.wordpress.com/
Cais do Sertão,"""Com experiências sensoriais e arquitetura inovadora o Cais do Sertão apresenta a cultura do homem sertanejo em um ambiente tecnológico e interativo. Objetos do cotidiano discos instrumentos musicais estão presentes em seu acervo. O visitante tem a oportunidade de tocar alguns instrumentos cantar em cabines de karaokê  além de contemplar uma réplica do Rio São Francisco e a arte da xilogravura.""","""Recife""",-8.0631633,-34.8711337,Gastronomia,"""Av. Alfredo Lisboa S/N""",(81) 3089-2974,www.caisdosertao.com.br
Casa do Carnaval ,"""Espaço destinado a pesquisas sobre as manifestações da cultura popular com acervo de livros periódicos teses cartas partituras fotografias notas de jornal entre outros documentos.""","""São José""",-8.0667877,-34.8790547,Gastronomia,"""Pátio de São Pedro Nº 38""",(81) 3355-4311 | 3355-4331,http://casadocarnaval.blogspot.com.br/
Observatório Cultural Torre Malakoff,"""Observatório astronômico do século XIX funciona também como centro cultural abrigando exposições temporárias""","""Recife""",-8.0631633,-34.8711337,Gastronomia,"""Praça do Arsenal S/N""",(81) 3184-3180,https://www.facebook.com/TorreMalakoffOnline/
Sinagoga Kahal Zur Israel,"""Primeira singagoga das Américas funciona atualmente o Centro Judaico de Pernambuco. Escavações arqueológicas exposição de itens e documentos proporcionam o contado do visitante com a história do judeus no Recife.""","""Recife""",-8.0618594,-34.8713172,Gastronomia,"""Rua do Bom Jesus 197""",(81) 3224-8351,http://www.kahalzurisrael.com/
Paço do Frevo,"""Espaço cultural no bairro do Recife conta através de seu ambiente toda a história da dança e ritmo Frevo. Dedicado à formação e pesquisa possui escola de dança e música além de um centro de documentação.""","""Recife""",-8.0613183,-34.8716376,Gastronomia,"""Praça do Arsenal da Marinha S/N""",(81) 3355-9500,http://www.pacodofrevo.org.br/
Memorial Chico Science,"""Buscando resgatar a obra do artista Chico Science o Memorial localizado no Pátio de São Pedro abriga exposições espaço para pesquisa e alguns eventos como a Semana Chico Science no mês de março que proporciona um momento de reflexão sobre o movimento Manguebeat.""","""São José""",-8.0671216,-34.8788421,Gastronomia,"""Pátio de São Pedro casa 21""",(81) 3355.3158 | 3355.3159 ,http://www.recife.pe.gov.br/chicoscience/#
Memorial Luiz Gonzaga,"""Com o objetivo preservar e difundir a obra de Luiz Gonzaga o Memorial também localizado no Pátio de São Pedro possui três núcleos operacionais: Núcleo Educativo dedicado à mediação e educação patrimonial Núcleo de Pesquisa proporcionando o acesso a documentos Núcleo de Música o qual trabalha na edição de partituras. Abriga exposição permanente.""","""São José""",-8.0672249,-34.8789283,Gastronomia,"""Pátio de São Pedro Casa 35""",(81) 3355.3155,http://memorialluizgonzaga.blogspot.com.br/
Museu do Trem,"""Contando a história do trem em Pernambuco a Estação Central Capiba possui acervo com peças colhidas nas antigas estações de trens do estado além de um pátio expondo duas locomotivas do tipo Maria-fumaça e outra movida a óleo diesel.""","""São José""",-8.0680447,-34.8834433,Gastronomia,"""R. Floriano Peixoto s/n""",(81) 3184-3197,https://www.facebook.com/museudotrempe/
Museu de Artes Afro-Brasil Rolando Toro,"""Na rua Mariz e Barros do bairro do Recife o espaço cultural abriga obras sob a perspectiva de um museu dinâmico promovendo estéticas entre as diversas linguagens artísticas afro-brasileiras em um só ambiente. Algumas peças do acervo ainda estão sendo catalogadas pelo museu junto à UFPE.""","""Recife""",-8.0628495,-34.873079,Gastronomia,"""Rua Mariz e Barros 328""",(81) 9970-8970,https://www.facebook.com/museuafrobrasilrolandotoro/
